Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-18437600027,03/29/2019,4382,KUM & GO #8 / 8TH ST / WDM,1293 8TH AVE,WEST DES MOINES,50265,,77,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL,24,375,8,12,2,24,0.75,0.19
INV-18426700061,03/28/2019,2528,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,,77,POLK,1052100,IMPORTED BRANDIES,420,MOET HENNESSY USA,48108,HENNESSY VS,6,1750,46.49,69.74,2,139.48,3.5,0.92
INV-18212400127,03/19/2019,2513,HY-VEE FOOD STORE #2 / IOWA CITY,812  S 1ST AVE,IOWA CITY,52240,,52,JOHNSON,1052100,IMPORTED BRANDIES,420,MOET HENNESSY USA,48105,HENNESSY VS,12,375,10.74,16.11,8,128.88,3,0.79
INV-18062400025,03/11/2019,2459,REINHART FOODS,200 STATE PO BOX 98,GUTHRIE CENTER,50115,,39,GUTHRIE,1081100,COFFEE LIQUEURS,370,PERNOD RICARD USA,67526,KAHLUA COFFEE,12,750,12.49,18.74,1,18.74,0.75,0.19
INV-17956400085,03/06/2019,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,,85,STORY,1031100,AMERICAN VODKAS,402,OZ SPIRITS LLC,36447,INGENIOZ,12,750,12.54,18.81,12,225.72,9,2.37
INV-17880600070,03/04/2019,3868,WAL-MART 3630 / MARION,5491 BUSINESS HWY 151,MARION,52302,,57,LINN,1012100,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11777,BLACK VELVET,12,1000,6.63,9.95,12,119.4,12,3.17
INV-17898600042,03/04/2019,3417,BIG G FOOD STORE,PO BOX 261  310 W DILLON,MARENGO,52301,,48,IOWA,1011200,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,20248,OLD CROW,6,1750,10.5,15.75,2,31.5,3.5,0.92
INV-18242900016,03/20/2019,5268,THE DEPOT ATKINS,"188, PARKRIDGE RD",ATKINS,52206,,6,BENTON,1011100,BLENDED WHISKIES,260,DIAGEO AMERICAS,25608,SEAGRAMS 7 CROWN,6,1750,12.96,19.44,6,116.64,10.5,2.77
INV-18223700010,03/19/2019,5151,IDA LIQUOR,"500, HWY 175",IDA GROVE,51445,,47,IDA,1081200,CREAM LIQUEURS,300,MCCORMICK DISTILLING CO.,65204,TEQUILA ROSE LIQUEUR MINI,6,500,5,7.5,1,7.5,0.5,0.13
INV-18156300005,03/15/2019,4382,KUM & GO #8 / 8TH ST / WDM,1293 8TH AVE,WEST DES MOINES,50265,,77,POLK,1031100,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,12,60.12,9,2.37
INV-18097100030,03/12/2019,3705,LIQUOR LOCKER,507 1ST AVE #100,ROCK RAPIDS,51246,,60,LYON,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11297,CROWN ROYAL,12,1000,18.89,28.34,3,85.02,3,0.79
